passage_id,title,sentence_id,chunk_index,en,ko
"demo-1","Under the Wheel",11,2,"or enjoy nature.","자연을 즐길"
"demo-1","Under the Wheel",12,0,"Deep inside,","마음 깊은 곳에서,"
"demo-1","Under the Wheel",12,1,"he begins to ask himself","그는 스스로에게 묻기 시작한다"
"demo-1","Under the Wheel",12,2,"questions.","질문들을"
"demo-1","Under the Wheel",13,0,"Is this really","이것이 정말"
"demo-1","Under the Wheel",13,1,"what I want?","내가 원하는 것일까?"
"demo-1","Under the Wheel",14,0,"Why do I have to live","나는 왜 살아야 하는 걸까"
"demo-1","Under the Wheel",14,1,"only for others’ expectations?","오직 다른 사람들의 기대를 위해서만?"
"demo-1","Under the Wheel",15,0,"Hans meets a friend","한스는 친구를 만난다"
"demo-1","Under the Wheel",15,1,"named Heilner,","하일너라는 이름의,"
"demo-1","Under the Wheel",15,2,"who thinks differently.","다르게 생각하는"
"demo-1","Under the Wheel",16,0,"Heilner does not always agree","하일너는 항상 동의하지는 않는다"
"demo-1","Under the Wheel",16,1,"with school rules","학교 규칙이나"
"demo-1","Under the Wheel",16,2,"or church authority.","교회의 권위에"
"demo-1","Under the Wheel",17,0,"He speaks freely","그는 자유롭게 말하고"
"demo-1","Under the Wheel",17,1,"and follows his own ideas.","자신만의 생각을 따른다"
"demo-1","Under the Wheel",18,0,"Through this friendship,","이 우정을 통해,"
"demo-1","Under the Wheel",18,1,"Hans begins to realize","한스는 깨닫기 시작한다"
"demo-1","Under the Wheel",18,2,"that there can be","~가 있을 수 있다는 것을"
"demo-1","Under the Wheel",18,3,"different ways to live.","다른 삶의 방식들이"
"demo-1","Under the Wheel",19,0,"This is the moment","이것이 바로 그 순간이다"
"demo-1","Under the Wheel",19,1,"when Hans starts to struggle","한스가 갈등하기 시작하는"
"demo-1","Under the Wheel",19,2,"with authority.","권위와 함께"
"demo-1","Under the Wheel",20,0,"He respects","그는 존중한다"
"demo-1","Under the Wheel",20,1,"his parents and teachers,","부모와 선생님들을,"
"demo-1","Under the Wheel",20,2,"but he also feels uncomfortable.","하지만 동시에 불편함을 느낀다"
"demo-1","Under the Wheel",21,0,"He wants to think","그는 생각하고 싶다"
"demo-1","Under the Wheel",21,1,"for himself,","스스로"
"demo-1","Under the Wheel",21,2,"but he is afraid","그러나 그는 두렵다"
"demo-1","Under the Wheel",21,3,"to go against adults.","어른들에게 맞서는 것이"
"demo-1","Under the Wheel",22,0,"Because he cannot express","그가 표현할 수 없기 때문에"
"demo-1","Under the Wheel",22,1,"his true feelings,","자신의 진짜 감정을,"
"demo-1","Under the Wheel",22,2,"his stress becomes worse.","그의 스트레스는 더 심해진다"
"demo-1","Under the Wheel",23,0,"Under the Wheel asks","『수레바퀴 아래서』는 질문을 던진다"
"demo-1","Under the Wheel",23,1,"important questions","중요한 질문들을"
"demo-1","Under the Wheel",23,2,"for teenagers.","청소년들에게"
"demo-1","Under the Wheel",24,0,"Should we always follow","우리는 항상 따라야 할까"
"demo-1","Under the Wheel",24,1,"parents and teachers","부모와 선생님들을"
"demo-1","Under the Wheel",24,2,"without thinking?","생각 없이?"
"demo-1","Under the Wheel",25,0,"Is being a “good student”","‘좋은 학생’이 되는 것이"
"demo-1","Under the Wheel",25,1,"more important","더 중요한가"
"demo-1","Under the Wheel",25,2,"than being happy?","행복해지는 것보다?"
"demo-1","Under the Wheel",26,0,"What happens","무슨 일이 일어나는가"
"demo-1","Under the Wheel",26,1,"when we ignore","우리가 무시할 때"
"demo-1","Under the Wheel",26,2,"our own voice?","우리 자신의 목소리를"
"demo-1","Under the Wheel",27,0,"This novel does not say","이 소설은 말하지 않는다"
"demo-1","Under the Wheel",27,1,"that parents or schools","부모나 학교가"
"demo-1","Under the Wheel",27,2,"are bad.","나쁘다고"
"demo-1","Under the Wheel",28,0,"Instead,","대신에,"
"demo-1","Under the Wheel",28,1,"it shows","그것은 보여준다"
"demo-1","Under the Wheel",28,2,"how dangerous it can be","얼마나 위험할 수 있는지를"
"demo-1","Under the Wheel",28,3,"when a young person","어린 사람이"
"demo-1","Under the Wheel",28,4,"has no chance","기회를 갖지 못할 때"
"demo-1","Under the Wheel",28,5,"to think and choose.","생각하고 선택할"
"demo-1","Under the Wheel",29,0,"For students,","학생들에게,"
"demo-1","Under the Wheel",29,1,"this story is","이 이야기는"
"demo-1","Under the Wheel",29,2,"a chance","기회이다"
"demo-1","Under the Wheel",29,3,"to stop and think.","멈춰서 생각해볼"
"demo-1","Under the Wheel",30,0,"Who am I living for?","나는 누구를 위해 살고 있는가?"
"demo-1","Under the Wheel",31,0,"Am I listening","나는 듣고 있는가"
"demo-1","Under the Wheel",31,1,"to my own thoughts?","나 자신의 생각을"
"demo-1","Under the Wheel",32,0,"Hans’s story may be old,","한스의 이야기는 오래되었을지 모르지만,"
"demo-1","Under the Wheel",32,1,"but his worries","그의 고민은"
"demo-1","Under the Wheel",32,2,"are still very close","여전히 매우 가깝다"
"demo-1","Under the Wheel",32,3,"to our lives today.","오늘날 우리의 삶에"
